Model,Split,TrainFrac,R2,MAE,NTE,n_train,n_test,ModelFile,deg,ESI,MonotonicConsistency,PCE,n_train_small,n_train_big
PCFM_DS_poly2,B4_trainBig_testSmall,1.0,-24.719653021928725,30.11618524030384,0.29608983355425395,51408.0,36199,PCFM_DS_poly2_B4_trainBig_testSmall.joblib,2.0,,0.9997958850424559,6.965538459078452e-18,0.0,51408.0
PCFM_DS_poly3,B3_trainSmall_testBig,1.0,-0.17811883648875426,1021.4083208202107,0.10382939937689163,144794.0,12852,PCFM_DS_poly3_B3_trainSmall_testBig.joblib,3.0,,1.0,1.3458731372594294e-18,144794.0,0.0
PCFM_DS_poly3,B4_trainBig_testSmall,1.0,-24.74786242671653,30.123667015403626,0.296163391261723,51408.0,36199,PCFM_DS_poly3_B4_trainBig_testSmall.joblib,3.0,,0.9998369277182111,6.924517345361605e-18,0.0,51408.0
RawML_linreg,B3_trainSmall_testBig,1.0,-0.7757864231519118,1250.3359048118589,0.12710061526787678,144794.0,12852,RawML_linreg_B3_trainSmall_testBig.joblib,,,,,,
RawML_linreg,B4_trainBig_testSmall,1.0,-2983563.811284148,13026.709927489746,128.07320526864558,51408.0,36199,RawML_linreg_B4_trainBig_testSmall.joblib,,,,,,
RawML_ridge,B3_trainSmall_testBig,1.0,-0.7757901378262024,1250.3383519740753,0.12710086402968723,144794.0,12852,RawML_ridge_B3_trainSmall_testBig.joblib,,,,,,
RawML_ridge,B4_trainBig_testSmall,1.0,-2983463.5170377954,13026.500072846826,128.07114206489658,51408.0,36199,RawML_ridge_B4_trainBig_testSmall.joblib,,,,,,
RawML_rf,B3_trainSmall_testBig,1.0,-0.9396257161839452,1365.9614976197574,0.13885432395531006,144794.0,12852,RawML_rf_B3_trainSmall_testBig.joblib,,,,,,
RawML_rf,B4_trainBig_testSmall,1.0,-55702.25491099212,2189.679392881995,21.528018963967195,51408.0,36199,RawML_rf_B4_trainBig_testSmall.joblib,,,,,,
PCFM_DS_poly2,C_limitedData_mix,1.0,0.7993887827209609,142.9345617653815,0.014600394488105371,196202.0,49051,PCFM_DS_poly2_C_frac1.0.joblib,2.0,0.0,0.9197999699202888,3.0196835260145906e-18,144940.0,51262.0
PCFM_DS_poly3,C_limitedData_mix,1.0,0.7994106530795995,142.92977856512104,0.014599905896613884,196202.0,49051,PCFM_DS_poly3_C_frac1.0.joblib,3.0,0.0,0.9194421472069769,2.959482244960555e-18,144940.0,51262.0
RawML_ridge,C_limitedData_mix,1.0,0.5986179046144429,290.4034943608248,0.029663963187238372,196202.0,49051,RawML_ridge_C_frac1.0.joblib,,,,,,
PCFM_DS_poly2,C_limitedData_mix,0.5,0.7993381408713158,142.88672639375156,0.014595508229053285,98101.0,49051,PCFM_DS_poly2_C_frac0.5.joblib,2.0,0.0,0.9197115926245822,3.068886071038193e-18,72551.0,25550.0
PCFM_DS_poly3,C_limitedData_mix,0.5,0.7993778578669563,142.87629869199142,0.014594443066384286,98101.0,49051,PCFM_DS_poly3_C_frac0.5.joblib,3.0,0.0,0.919588557699527,2.996793069758327e-18,72551.0,25550.0
RawML_ridge,C_limitedData_mix,0.5,0.5985829969530299,291.27991165133784,0.029753486938664503,98101.0,49051,RawML_ridge_C_frac0.5.joblib,,,,,,
PCFM_DS_poly2,C_limitedData_mix,0.25,0.7993501728749831,142.78732455426933,0.014585354589154309,49050.0,49051,PCFM_DS_poly2_C_frac0.25.joblib,2.0,1.3868471417080409e-05,0.9201545154515451,3.0260847196528813e-18,36220.0,12830.0
PCFM_DS_poly3,C_limitedData_mix,0.25,0.7993633574943493,142.78359126155905,0.014584973242993963,49050.0,49051,PCFM_DS_poly3_C_frac0.25.joblib,3.0,1.3868471417080409e-05,0.9196438634058379,2.9758388861633695e-18,36220.0,12830.0
RawML_ridge,C_limitedData_mix,0.25,0.5985710510028837,291.4584469801301,0.029771723859100225,49050.0,49051,RawML_ridge_C_frac0.25.joblib,,,,,,
PCFM_DS_poly2,C_limitedData_mix,0.1,0.7990975165505516,142.5333613501425,0.014559412907031256,19620.0,49051,PCFM_DS_poly2_C_frac0.1.joblib,2.0,9.080338448062864e-05,0.9204285767804293,2.98312422256938e-18,14497.0,5123.0
PCFM_DS_poly3,C_limitedData_mix,0.1,0.7989047065236422,142.59982449660853,0.01456620194493321,19620.0,49051,PCFM_DS_poly3_C_frac0.1.joblib,3.0,9.080338448062864e-05,0.9199144754116808,2.9640886287803742e-18,14497.0,5123.0
RawML_ridge,C_limitedData_mix,0.1,0.5986177947545627,290.738541483964,0.02969818738122979,19620.0,49051,RawML_ridge_C_frac0.1.joblib,,,,,,
